Region,Year,GS31_doy,GS39_doy,GS61_doy,GS75_doy,flagleaf_exposure_days,survey_cum_cdd,survey_gs_progress,gs31_39_days,gs31_39_mean_temp,gs31_39_total_precip,gs31_39_mean_rh,gs31_39_wetness_hours,gs31_39_splash_risk,gs39_survey_days,gs39_survey_mean_temp,gs39_survey_total_precip,gs39_survey_mean_rh,gs39_survey_wetness_hours,gs39_survey_splash_risk,gs61_survey_days,gs61_survey_mean_temp,gs61_survey_total_precip,gs61_survey_mean_rh,gs61_survey_wetness_hours,gs61_survey_splash_risk,pre_survey_14d_days,pre_survey_14d_mean_temp,pre_survey_14d_total_precip,pre_survey_14d_mean_rh,pre_survey_14d_wetness_hours,pre_survey_14d_splash_risk,pre_survey_30d_days,pre_survey_30d_mean_temp,pre_survey_30d_total_precip,pre_survey_30d_mean_rh,pre_survey_30d_wetness_hours,pre_survey_30d_splash_risk
East,2005,98.0,123.0,150.0,170.0,48.0,1445.700000000001,1.0290243508088484,26.0,9.946153846153846,38.9,77.15384615384616,326.4,12.799999999999999,49.0,12.855102040816329,60.2,73.42857142857143,390.4,14.486666666666666,22.0,14.763636363636364,24.3,74.5909090909091,132.79999999999998,1.7866666666666666,15.0,15.073333333333332,4.8,73.46666666666667,54.400000000000006,0.0,31.0,14.761290322580644,32.1,73.80645161290323,211.2,6.986666666666666
East,2006,113.0,134.0,159.0,176.0,37.0,1345.0000000000002,0.9239145077432179,22.0,11.818181818181818,48.800000000000004,78.04545454545455,204.80000000000004,22.0,38.0,14.357894736842105,84.69999999999999,75.60526315789474,435.2,41.04666666666667,13.0,18.2,11.700000000000001,70.84615384615384,75.2,0.0,15.0,17.686666666666667,13.3,71.73333333333333,99.2,0.0,31.0,14.616129032258067,61.1,74.64516129032258,337.6,29.5
East,2007,85.0,111.0,135.0,158.0,60.0,1631.5999999999997,1.260603265843906,27.0,9.829629629629629,5.0,77.14814814814815,150.4,2.04,61.0,13.480327868852457,179.70000000000002,77.70491803278688,800.0,146.53333333333336,37.0,14.224324324324327,128.7,80.16216216216216,564.8000000000001,108.53333333333335,15.0,15.94,68.6,81.6,272.0,55.36666666666667,31.0,14.574193548387097,117.70000000000002,80.64516129032258,491.20000000000005,97.53333333333335
East,2008,95.0,125.0,148.0,169.0,47.0,1470.7000000000003,1.0596685096307874,31.0,8.33548387096774,57.800000000000004,76.90322580645162,372.8,32.46666666666667,48.0,13.810416666666667,112.1,75.75,473.6,70.28,25.0,14.096000000000002,67.4,78.92,358.4,53.760000000000005,15.0,13.833333333333332,23.4,75.53333333333333,155.2,13.8,31.0,13.861290322580649,100.39999999999999,77.83870967741936,406.4,65.75999999999999
East,2009,107.0,131.0,153.0,175.0,40.0,1361.8000000000002,0.9339024257768644,25.0,10.675999999999998,9.899999999999999,72.12,89.6,0.0,41.0,13.300000000000002,95.2,72.8780487804878,380.8,47.82666666666667,19.0,13.494736842105265,53.8,73.05263157894737,172.8,30.16,15.0,13.793333333333333,53.199999999999996,74.33333333333333,172.8,30.16,31.0,13.82258064516129,66.79999999999998,72.51612903225806,220.8,30.16
East,2010,120.0,144.0,165.0,183.0,27.0,1191.8,0.7336224687781366,25.0,10.532,16.3,71.44,171.2,4.6,28.0,13.585714285714285,53.4,73.46428571428571,257.6,26.4,7.0,12.0,0.6,72.71428571428571,20.8,0.0,15.0,13.513333333333332,37.900000000000006,76.6,160.0,22.799999999999997,31.0,13.890322580645162,53.400000000000006,73.35483870967742,259.2,26.4
East,2011,96.0,116.0,140.0,162.0,55.0,1551.7000000000003,1.1596613833391929,21.0,11.95238095238095,1.7,72.71428571428571,36.800000000000004,0.0,56.0,13.299999999999999,51.1,67.85714285714286,286.4,13.9,32.0,13.784375,41.599999999999994,68.90625,224.0,13.9,15.0,13.806666666666665,32.9,71.2,169.6,13.9,31.0,13.79032258064516,41.6,69.12903225806451,224.0,13.9
East,2012,98.0,129.0,153.0,176.0,43.0,1365.9,0.9469062915512348,32.0,7.846875,127.50000000000001,80.03125,630.4000000000001,105.58666666666666,44.0,12.879545454545458,104.7,77.22727272727273,542.4,49.5,20.0,12.794999999999998,72.10000000000001,76.95,276.8,25.1,15.0,13.359999999999998,47.29999999999999,76.33333333333333,192.0,17.599999999999998,31.0,13.887096774193548,75.10000000000001,77.16129032258064,392.0,25.099999999999998
East,2013,128.0,152.0,174.0,193.0,19.0,1087.6999999999998,0.6071605434886872,25.0,10.563999999999998,54.3,76.16,379.20000000000005,31.759999999999998,20.0,13.405000000000001,18.0,75.05,145.60000000000002,6.873333333333333,,,,,,,15.0,14.033333333333331,18.0,75.4,132.8,6.873333333333333,31.0,12.429032258064519,47.6,75.41935483870968,304.0,28.073333333333334
East,2014,88.0,112.0,138.0,159.0,59.0,1594.7000000000007,1.2270306758729608,25.0,10.452,20.300000000000004,76.36,190.4,10.5,60.0,13.335,119.89999999999999,77.1,609.5999999999999,37.506666666666675,34.0,14.673529411764704,73.39999999999999,76.97058823529412,291.20000000000005,12.066666666666666,15.0,15.600000000000001,11.4,75.2,80.0,0.0,31.0,14.474193548387095,71.89999999999999,77.41935483870968,267.2,12.066666666666666
East,2015,106.0,132.0,157.0,178.0,39.0,1318.6999999999996,0.8824027318020422,27.0,9.962962962962965,42.9,72.37037037037037,268.8,19.5,40.0,12.545,53.5,70.525,305.6,16.3,15.0,13.726666666666667,11.999999999999998,70.93333333333334,78.4,6.8,15.0,13.726666666666667,11.999999999999998,70.93333333333334,78.4,6.8,31.0,13.135483870967745,36.300000000000004,70.83870967741936,227.2,11.5
East,2016,103.0,131.0,156.0,175.0,41.0,1375.3999999999999,0.9449454020217819,29.0,8.879310344827585,57.400000000000006,75.13793103448276,318.4,38.0,42.0,13.423809523809526,94.4,80.02380952380952,510.4000000000001,53.879999999999995,17.0,15.194117647058825,47.89999999999999,81.05882352941177,240.0,38.43333333333334,15.0,15.32,47.900000000000006,80.73333333333333,212.8,38.43333333333334,31.0,13.81935483870968,61.19999999999999,80.83870967741936,401.6,42.68
East,2017,92.0,119.0,144.0,162.0,52.0,1615.0000000000005,1.2173200236954491,28.0,9.264285714285714,19.1,71.67857142857143,225.6,4.6,53.0,14.966037735849055,140.6,73.60377358490567,539.2,92.8,28.0,17.514285714285712,58.3,72.82142857142857,244.8,26.3,15.0,17.860000000000003,21.3,70.66666666666667,96.0,17.8,31.0,17.280645161290323,59.10000000000001,72.96774193548387,249.6,26.3
East,2018,108.0,128.0,150.0,169.0,43.0,1480.1999999999996,1.04774059244616,21.0,12.314285714285715,45.5,74.28571428571429,187.2,10.313333333333334,44.0,14.879545454545456,71.79999999999998,77.25,385.6,41.54666666666667,22.0,15.959090909090907,30.700000000000006,78.22727272727273,200.0,23.200000000000003,15.0,15.780000000000001,6.0,74.73333333333333,73.60000000000001,0.0,31.0,15.854838709677418,55.79999999999999,78.93548387096774,326.4,39.44666666666667
East,2019,92.0,119.0,146.0,166.0,52.0,1514.9,1.0938476494043547,28.0,9.260714285714286,19.0,72.96428571428571,209.60000000000002,0.0,53.0,12.843396226415093,139.0,75.0754716981132,665.6,68.58,26.0,14.730769230769234,101.4,76.11538461538461,432.0,47.10000000000001,15.0,14.126666666666667,82.69999999999999,78.8,288.0,40.900000000000006,31.0,14.725806451612906,101.99999999999999,74.61290322580645,432.0,47.1
East,2020,84.0,112.0,139.0,158.0,60.0,1650.7999999999995,1.2578823529411758,29.0,9.141379310344828,9.0,67.72413793103448,100.8,0.0,61.0,13.442622950819672,102.70000000000002,69.36065573770492,435.2,59.8,34.0,15.517647058823528,75.50000000000001,69.8529411764706,288.0,47.400000000000006,15.0,15.026666666666667,67.50000000000001,77.86666666666666,216.0,42.599999999999994,31.0,15.332258064516127,75.30000000000001,70.03225806451613,288.0,47.400000000000006
East,2021,108.0,136.0,159.0,177.0,35.0,1357.3999999999996,0.9127058823529406,29.0,8.741379310344827,57.69999999999998,72.75862068965517,328.0,25.3,36.0,14.888888888888893,90.9,75.30555555555556,398.4,76.5,13.0,17.73846153846154,45.0,74.38461538461539,99.2,40.3,15.0,17.713333333333335,45.199999999999996,74.2,99.2,40.3,31.0,15.535483870967742,76.10000000000001,74.54838709677419,278.4,61.699999999999996
East,2022,90.0,116.0,139.0,161.0,55.0,1611.8,1.2022346300089801,27.0,9.414814814814815,21.199999999999996,71.25925925925925,152.0,4.9,56.0,13.887500000000001,105.8,72.71428571428571,486.4,40.04666666666667,33.0,14.627272727272727,63.1,72.87878787878788,288.0,23.1,15.0,16.433333333333337,23.7,70.53333333333333,72.0,7.6,31.0,14.596774193548388,55.10000000000001,72.7741935483871,240.0,15.1
